id,acousticness,danceability,energy,explicit,instrumentalness,key,liveness,loudness,mode,release_date,speechiness,tempo,valence,year,duration-min,popularity
6431,0.426,0.615,0.831,No,7.26E-05,1,0.184,-9.394,Major,01-01-1988,0.0311,135.114,0.914,1988,3.2,average
3217,0.002,0.197,0.661,No,0.00466,9,0.235,-8.954,Major,08-03-1974,0.0644,172.274,0.399,1974,4.4,very low
10140,0.0145,0.815,0.513,No,0.000102,1,0.14,-8.363,Major,17-01-2020,0.244,96.982,0.17,2020,4.9,high
2714,0.565,0.725,0.426,No,2.33E-06,9,0.11,-13.066,Major,24-05-1993,0.0272,110.262,0.791,1993,3.8,average
1332,0.809,0.353,0.393,No,3.45E-05,5,0.687,-10.853,Minor,01-01-1958,0.0675,132.146,0.241,1958,32,very low
10348,0.434,0.897,0.646,No,0.291,3,0.0912,-6.398,Minor,01-01-1987,0.0302,113.774,0.454,1987,4.7,high
7295,0.00333,0.488,0.959,No,0.0767,9,0.025,-5.575,Major,01-01-1984,0.0758,166.799,0.67,1984,4.2,average
12512,0.519,0.741,0.615,No,0.000344,0,0.407,-8.072,Major,01-08-1967,0.0358,128.496,0.799,1967,2.8,high
402,0.725,0.651,0.0867,No,6.54E-05,5,0.169,-18.882,Major,01-01-1926,0.048,87.221,0.54,1926,3.1,average
12429,0.819,0.497,0.132,No,2.96E-06,4,0.0883,-18.248,Major,01-01-1959,0.0423,129.403,0.472,1959,3.2,very low
15122,0.000247,0.803,0.781,No,0.895,4,0.0831,-8.688,Minor,06-01-2011,0.0593,124.014,0.743,2011,8.6,very low
4446,3.41E-05,0.537,0.98,Yes,0.337,11,0.967,-7.644,Minor,19-12-2014,0.0533,139.998,0.347,2014,4,very low
9408,0.0686,0.548,0.72,No,0.000232,1,0.107,-9.777,Minor,01-01-1977,0.0409,140.966,0.458,1977,3.8,high
5041,0.0377,0.523,0.832,No,1.55E-06,6,0.756,-5.996,Major,06-08-2020,0.051,96.923,0.509,2020,5.8,very low
10586,0.787,0.631,0.28,No,0.332,7,0.205,-18.542,Major,01-01-1964,0.0419,76.529,0.556,1964,3.9,low
8176,0.557,0.808,0.508,No,0,0,0.0578,-6.429,Minor,27-09-2005,0.0409,130.999,0.82,2005,4.2,average
8101,0.819,0.622,0.326,No,0.536,4,0.719,-18.177,Major,29-06-2010,0.0407,100.453,0.49,2010,9.1,very low
10157,0.661,0.342,0.808,No,0.0234,2,0.104,-7.222,Major,03-12-1965,0.0573,138.657,0.418,1965,2.7,low
8044,0.682,0.501,0.374,No,0,0,0.276,-6.489,Major,01-01-1977,0.029,166.691,0.813,1977,2.2,average
3082,0.00998,0.917,0.529,Yes,0,1,0.0884,-3.785,Minor,06-11-2020,0.101,122,0.289,2020,2.5,high
7102,0.000891,0.481,0.94,No,0,7,0.0939,-5.204,Major,16-05-2000,0.066,96.493,0.66,2000,3.2,high
3625,0.861,0.49,0.297,No,0,0,0.0979,-6.504,Major,02-10-2020,0.0305,127.079,0.274,2020,3.9,low
14161,0.736,0.719,0.22,No,9.40E-06,11,0.118,-11.811,Major,01-01-1994,0.0294,115.375,0.168,1994,4.3,average
13752,0.153,0.457,0.602,No,0.897,7,0.132,-11.774,Major,01-01-1979,0.0361,129.507,0.769,1979,2.7,low
7119,0.913,0.652,0.267,No,4.91E-06,8,0.0986,-10.134,Major,01-01-1927,0.081,143.142,0.901,1927,2.7,very low
11726,0.988,0.549,0.276,No,0.883,11,0.154,-17.845,Major,01-01-1946,0.0394,143.393,0.846,1946,3,very low
14714,2.62E-05,0.345,0.914,No,0.000352,9,0.164,-5.145,Major,26-09-1990,0.0696,150.149,0.188,1990,6.8,average
4236,0.954,0.596,0.145,No,0.00127,4,0.687,-16.797,Major,01-01-1994,0.0487,80.03,0.643,1994,2.9,average
15490,0.996,0.544,0.364,No,0.85,7,0.266,-14.157,Major,12-07-1925,0.0577,133.778,0.674,1925,2.5,very low
3275,0.551,0.638,0.605,No,0,9,0.101,-6.14,Major,01-03-1964,0.0352,133.748,0.869,1964,2.8,low
13169,0.958,0.53,0.143,No,0.497,8,0.278,-17.471,Major,14-12-1959,0.0423,125.464,0.119,1959,7.4,average
12880,0.0217,0.84,0.412,No,0.784,1,0.041,-14.23,Major,01-01-1967,0.056,122.807,0.963,1967,2.6,average
7183,0.395,0.549,0.636,Yes,0,10,0.0974,-3.923,Minor,01-01-2005,0.376,182.363,0.661,2005,4.2,high
6916,0.000851,0.646,0.716,No,0.757,1,0.179,-11.665,Major,03-03-2020,0.0282,124.008,0.53,2020,4.5,low
13867,0.0144,0.603,0.908,No,0,11,0.671,-5.254,Major,24-10-2000,0.184,133.063,0.457,2000,3.1,high
326,0.438,0.451,0.497,No,0,0,0.646,-9.427,Major,25-05-2009,0.0313,123.156,0.783,2009,5.3,very low
1419,0.00883,0.578,0.765,No,7.19E-06,10,0.993,-6.931,Major,13-03-2020,0.0387,137.037,0.835,2020,3.9,very low
1289,0.0239,0.849,0.536,Yes,0,1,0.126,-7.307,Major,04-08-2020,0.349,141.964,0.308,2020,2,very high
5952,0.0954,0.347,0.934,No,0.262,7,0.087,-7.438,Major,12-12-2015,0.0764,147.037,0.283,2015,1.5,very low
164,0.427,0.679,0.443,Yes,0,10,0.106,-8.528,Minor,04-10-2019,0.153,104.049,0.363,2019,3,high
5565,0.789,0.634,0.304,No,4.82E-05,0,0.123,-10.711,Major,01-01-1958,0.0522,125.279,0.495,1958,3.8,average
6974,0.22,0.736,0.525,No,0.00152,2,0.127,-9.694,Major,15-02-2018,0.0296,102.987,0.529,2018,4.2,high
10355,0.0418,0.491,0.866,No,0.00111,1,0.761,-7.44,Minor,01-01-1981,0.0564,93.129,0.783,1981,2.4,low
13017,0.662,0.602,0.616,No,0.0153,1,0.149,-10.917,Major,03-03-1998,0.0353,108.017,0.31,1998,6.1,high
2608,0.0084,0.611,0.82,No,0,4,0.107,-2.784,Major,01-01-2005,0.0316,94.981,0.786,2005,3.6,high
3513,0.424,0.647,0.233,No,0.00142,7,0.0914,-13.15,Major,25-04-1993,0.0361,165.928,0.403,1993,4.1,average
3926,0.783,0.596,0.328,No,0,9,0.0515,-9.502,Minor,22-01-1968,0.0348,126.359,0.387,1968,3.7,low
7760,0.331,0.405,0.646,No,0,4,0.103,-3.206,Minor,06-09-2019,0.0476,130.218,0.17,2019,2.6,high
7121,0.816,0.505,0.653,No,0.679,10,0.361,-8.779,Major,01-01-1958,0.0525,119.392,0.564,1958,2.1,very low
7083,0.904,0.433,0.459,No,0.786,7,0.108,-8.41,Major,01-01-1935,0.0418,154.805,0.726,1935,1,very low
13322,0.704,0.143,0.456,No,0.909,9,0.408,-7.654,Minor,01-01-1949,0.0335,73.646,0.0379,1949,2.2,very low
14138,0.906,0.39,0.277,No,0.000922,11,0.1,-13.61,Major,01-01-1988,0.0325,144.26,0.21,1988,2.9,average
1087,0.941,0.41,0.535,No,0,3,0.226,-5.531,Major,23-02-1957,0.0401,123.909,0.584,1957,1.9,very low
15927,0.739,0.391,0.455,No,0.00943,7,0.0869,-11.632,Major,01-01-1979,0.033,79.728,0.282,1979,3.1,average
11153,0.546,0.585,0.256,No,0,2,0.617,-17.089,Major,01-01-1983,0.08,115.227,0.793,1983,3.1,low
10846,0.558,0.724,0.503,No,0,10,0.0852,-6.155,Minor,01-01-1997,0.0359,90.169,0.939,1997,3.1,average
8299,0.995,0.785,0.0766,No,0.0497,9,0.112,-19.239,Major,22-10-1929,0.0622,120.251,0.851,1929,3,very low
2901,0.964,0.307,0.103,No,1.40E-05,9,0.0992,-14.943,Major,01-12-1962,0.0312,111.492,0.259,1962,2.2,very low
4145,0.306,0.426,0.784,No,0,3,0.0695,-3.225,Major,23-10-2007,0.0421,147.939,0.272,2007,3.8,average
6093,0.057,0.478,0.657,No,3.98E-05,11,0.151,-4.075,Major,26-11-2009,0.0321,146.075,0.203,2009,3.7,very low
11628,0.97,0.178,0.158,No,0.913,1,0.0856,-16.376,Minor,01-01-1945,0.0459,81.163,0.106,1945,11.7,very low
3742,0.966,0.699,0.349,No,0.0107,3,0.11,-9.852,Major,01-01-1925,0.0553,158.655,0.883,1925,3.2,very low
3233,0.662,0.657,0.54,No,0,5,0.123,-7.675,Major,20-11-2020,0.0287,136.97,0.625,2020,2.7,very high
6793,0.211,0.703,0.435,No,0.0107,4,0.102,-13.768,Major,09-11-1981,0.0319,144.369,0.864,1981,3.1,low
7997,0.921,0.488,0.259,No,0,4,0.138,-15.484,Minor,01-01-1943,0.376,206.68,0.717,1943,2.4,very low
8467,0.709,0.62,0.486,No,0.298,8,0.178,-15.152,Major,01-01-1956,0.0469,115.509,0.897,1956,3.1,very low
4102,0.000293,0.409,0.71,No,0.51,9,0.0827,-6.686,Major,09-10-1990,0.0293,153.638,0.274,1990,3.8,average
8704,0.0663,0.613,0.631,Yes,0,4,0.169,-6.965,Major,08-12-2020,0.12,149.992,0.33,2020,2.6,very high
8748,0.253,0.446,0.73,No,0.00505,0,0.258,-6.48,Major,01-01-1977,0.0271,78.64,0.789,1977,3,low
3662,0.0968,0.602,0.569,No,0,7,0.104,-8.987,Major,13-10-1995,0.023,95.022,0.196,1995,3.7,average
10679,0.33,0.717,0.79,Yes,0.000125,11,0.518,-4.213,Major,14-04-2017,0.2,125.985,0.371,2017,2.8,high
2812,0.0501,0.347,0.235,No,0.129,7,0.0759,-17.775,Major,24-08-1984,0.0287,92.422,0.0586,1984,7.3,average
15516,0.0725,0.191,0.406,No,0.783,9,0.0734,-12.165,Major,09-06-1997,0.0383,117.062,0.0374,1997,4.8,average
3616,0.0212,0.759,0.948,No,0.336,1,0.366,-5.465,Major,13-12-2019,0.114,134.085,0.181,2019,2.5,very low
11841,0.257,0.597,0.581,No,0,3,0.105,-9.72,Major,01-01-1973,0.0449,107.202,0.885,1973,3.4,high
10331,0.189,0.6,0.761,No,0,9,0.214,-3.248,Major,01-01-1999,0.0327,134.11,0.752,1999,5,average
12172,0.762,0.718,0.497,No,0.0274,0,0.122,-15.499,Major,01-01-1967,0.0607,89.119,0.894,1967,1.9,low
4878,0.918,0.349,0.277,No,0.869,2,0.133,-13.045,Minor,15-11-1999,0.0343,69.988,0.16,1999,2.9,low
7753,0.345,0.578,0.778,No,0,5,0.27,-5.042,Major,26-03-1996,0.0287,125.237,0.881,1996,2.4,low
9652,0.0658,0.521,0.804,No,0,0,0.0521,-4.395,Major,01-07-2014,0.0569,143.952,0.553,2014,3.7,high
1678,0.399,0.409,0.226,No,0,6,0.132,-15.291,Major,01-01-1986,0.0279,67.084,0.219,1986,3.8,low
15609,0.00213,0.698,0.662,No,0.703,1,0.047,-12.58,Major,09-11-1990,0.111,99.661,0.503,1990,5,average
14058,0.986,0.446,0.226,No,0,1,0.579,-10.585,Major,01-01-1953,0.0394,88.596,0.249,1953,2.1,very low
4988,0.00816,0.658,0.82,No,0,0,0.0839,-5.825,Major,23-09-2016,0.0674,112.938,0.697,2016,4,high
674,0.382,0.396,0.379,No,0,8,0.105,-14.236,Major,01-01-1988,0.043,114.447,0.368,1988,3.3,average
12379,0.0661,0.739,0.471,Yes,9.78E-05,8,0.116,-8.456,Major,28-09-2018,0.0436,90.002,0.31,2018,3.2,high
6223,0.854,0.59,0.702,No,0.473,10,0.262,-7.177,Minor,12-01-1947,0.0706,115.364,0.762,1947,2.9,very low
11671,0.00192,0.956,0.72,Yes,0,10,0.117,-2.73,Minor,16-10-2020,0.173,127.943,0.282,2020,2.9,high
5719,0.0274,0.317,0.695,No,3.96E-06,0,0.618,-7.233,Major,14-11-1969,0.0363,136.144,0.428,1969,5.3,low
11230,0.401,0.731,0.573,Yes,5.22E-05,4,0.113,-10.059,Minor,27-11-2020,0.0544,109.928,0.145,2020,3.4,very high
5318,0.983,0.295,0.278,No,0.000293,3,0.191,-13.65,Major,01-12-1949,0.0402,181.437,0.676,1949,3.4,very low
3421,0.828,0.714,0.367,No,0.399,5,0.112,-12.855,Major,12-02-1963,0.0328,107.328,0.633,1963,8.1,average
6692,0.56,0.357,0.288,No,6.94E-06,7,0.164,-6.611,Major,01-01-1967,0.0281,91.174,0.487,1967,2.9,low
6270,0.507,0.345,0.584,No,0.803,5,0.0805,-8.975,Minor,31-03-2012,0.0374,128.436,0.464,2012,5.6,very low
117,0.0323,0.549,0.455,No,6.66E-05,1,0.194,-13.143,Minor,09-11-1981,0.0319,145.126,0.524,1981,3.7,low
6720,0.724,0.528,0.425,No,0.00207,7,0.11,-8.689,Major,01-01-1968,0.027,76.277,0.309,1968,2.6,low
15255,0.00231,0.313,0.895,No,0.000901,1,0.293,-5.101,Major,27-10-1979,0.0567,127.442,0.609,1979,4.1,low
365,0.952,0.0896,0.0232,No,0.0123,5,0.14,-34.943,Major,29-10-1993,0.0482,169.338,0.0792,1993,3.6,average
3948,0.0178,0.437,0.647,No,0,9,0.106,-5.371,Major,14-04-2015,0.0371,176.032,0.218,2015,3.5,high
5779,0.00594,0.613,0.754,No,0.000318,4,0.33,-8.191,Minor,21-09-1998,0.0318,104.651,0.576,1998,4.1,average
13201,0.34,0.723,0.201,Yes,0,0,0.607,-18.792,Major,01-01-1929,0.908,124.477,0.776,1929,4.2,very low
11769,0.0956,0.833,0.681,No,0,1,0.0414,-6.028,Minor,01-01-2004,0.215,95.48,0.887,2004,4.7,high
3637,0.0623,0.751,0.938,No,0.0021,7,0.126,-9.898,Major,07-03-1995,0.0617,120.038,0.767,1995,4.8,low
4518,0.847,0.169,0.287,No,0.00168,7,0.0898,-14.233,Major,01-01-1941,0.0364,101.422,0.319,1941,1.6,very low
11725,0.856,0.253,0.189,No,4.44E-06,8,0.112,-17.741,Major,01-01-1963,0.0348,133.591,0.143,1963,2.5,low
5162,0.0217,0.581,0.533,No,0.00539,4,0.259,-8.433,Minor,20-04-2018,0.0274,87.017,0.466,2018,3.9,high
6346,0.282,0.665,0.487,No,0,10,0.169,-10.529,Major,01-01-1967,0.0442,126.137,0.437,1967,3.5,low
805,0.0834,0.342,0.781,No,0.00191,2,0.204,-7.899,Major,01-04-1976,0.101,135.198,0.197,1976,20.6,low
13465,0.0558,0.686,0.332,No,0.00142,7,0.368,-16.984,Major,01-01-1987,0.0268,109.067,0.64,1987,3.4,average
2643,0.000193,0.554,0.991,No,0.872,7,0.245,-3.142,Major,29-12-2020,0.0696,170.013,0.526,2020,5.7,very low
567,0.764,0.703,0.18,No,0,2,0.12,-18.542,Major,07-07-1970,0.0377,125.25,0.777,1970,3.2,low
9231,0.000132,0.534,0.787,No,0.0025,1,0.366,-10.579,Minor,01-09-1990,0.0429,83.896,0.319,1990,4.8,low
8225,0.424,0.63,0.178,No,0,10,0.365,-22.076,Minor,01-01-1926,0.947,171.117,0.199,1926,2.3,very low
7789,0.000421,0.263,0.828,No,0.018,4,0.232,-8.225,Minor,17-06-1996,0.0412,99.092,0.584,1996,9.8,average
1180,0.964,0.414,0.187,No,0.0183,7,0.109,-13.253,Major,03-04-2012,0.0326,127.323,0.276,2012,4.4,average
13287,0.28,0.809,0.575,No,0.122,11,0.411,-11.967,Major,31-10-1981,0.0275,96.179,0.966,1981,4.7,average
14664,0.986,0.588,0.378,No,0.0286,2,0.169,-15.305,Major,20-03-1949,0.0547,169.23,0.961,1949,2.7,very low
4895,0.991,0.388,0.464,No,0.814,3,0.362,-15.199,Minor,01-01-1930,0.114,117.143,0.55,1930,2.9,very low
6924,0.819,0.409,0.251,No,0,4,0.157,-8.872,Minor,21-01-2013,0.0812,209.12,0.178,2013,4.2,very low
7184,0.0002,0.597,0.976,No,0.000164,11,0.114,-3.998,Minor,16-09-2002,0.0646,97.597,0.584,2002,3.9,average
10521,0.0793,0.648,0.537,No,1.31E-05,7,0.45,-6.376,Major,01-01-2004,0.0364,140.121,0.978,2004,3.4,average
9571,0.961,0.251,0.277,No,1.64E-05,10,0.906,-12.376,Major,01-01-1934,0.0512,69.912,0.323,1934,3.3,very low
11588,0.377,0.628,0.138,Yes,0,7,0.354,-17.732,Major,01-01-1940,0.963,167.586,0.487,1940,1.7,very low
7764,0.00145,0.592,0.782,No,0.244,4,0.148,-8.875,Major,12-09-1981,0.0305,122.762,0.784,1981,5.1,low
11511,0.308,0.586,0.388,No,0.233,4,0.0958,-12.947,Major,21-04-1992,0.0749,106.843,0.329,1992,2.7,low
1066,0.275,0.663,0.209,Yes,0,1,0.22,-16.303,Major,01-01-1926,0.951,91.444,0.602,1926,2.2,very low
1469,0.076,0.899,0.626,No,0,6,0.0631,-4.228,Minor,22-01-2021,0.292,88.007,0.873,2021,3.9,very low
4662,0.281,0.644,0.58,No,0,11,0.0652,-6.819,Major,01-04-1984,0.0226,96.475,0.591,1984,3.7,high
5881,0.517,0.524,0.318,No,2.14E-06,5,0.142,-13.321,Major,20-08-1962,0.0555,147.781,0.843,1962,2.3,low
15254,0.358,0.699,0.699,No,0,8,0.0912,-5.564,Minor,01-10-2007,0.0737,94.977,0.611,2007,3.4,high
12285,0.98,0.0631,0.0196,No,0.361,2,0.0611,-28.249,Major,01-01-1978,0.0513,207.535,0.0383,1978,4.2,very low
14424,0.406,0.682,0.7,No,0,6,0.174,-5.591,Major,10-01-2020,0.0397,120.03,0.637,2020,3.1,very high
9111,0.673,0.503,0.344,No,0.381,1,0.096,-19.024,Major,01-01-1993,0.0369,108.489,0.468,1993,3.2,average
15393,0.00181,0.594,0.946,No,1.04E-06,8,0.923,-3.408,Major,13-02-2017,0.126,110.024,0.665,2017,3.9,high
3738,0.0222,0.652,0.671,Yes,0,2,0.107,-5.89,Major,10-07-2020,0.0756,84.008,0.274,2020,3,high
104,0.613,0.442,0.663,No,3.46E-06,0,0.254,-5.048,Major,01-09-1965,0.0284,149.666,0.96,1965,3.4,very low
2633,0.0951,0.431,0.894,Yes,0,5,0.188,-2.673,Minor,01-01-2010,0.33,162.161,0.605,2010,4.3,high
1160,0.941,0.197,0.451,No,0.00143,9,0.219,-8.465,Major,01-01-1949,0.0358,85.785,0.438,1949,2.9,very low
6547,0.409,0.648,0.449,No,0.0301,7,0.198,-10.516,Minor,01-01-1962,0.231,62.257,0.306,1962,2.1,very low
8040,0.87,0.275,0.381,No,0.932,2,0.0865,-18.374,Minor,20-02-1974,0.042,148.955,0.0648,1974,17.7,low
1822,0.853,0.607,0.255,No,6.57E-06,2,0.075,-10.94,Minor,01-01-1958,0.0442,115.52,0.361,1958,2.5,very low
10759,0.0516,0.61,0.724,No,0,0,0.0528,-10.896,Minor,22-11-1989,0.044,113.29,0.734,1989,4.3,low
7424,0.839,0.383,0.29,No,0.0333,5,0.239,-12.962,Major,06-06-2010,0.0451,117.899,0.103,2010,4.6,very low
12600,0.0163,0.294,0.641,No,0.22,11,0.112,-9.316,Major,17-09-1991,0.0291,79.759,0.226,1991,8.9,high
1954,0.0925,0.317,0.562,No,0,11,0.893,-8.719,Major,01-01-2006,0.0343,76.915,0.218,2006,5.5,average
12829,0.207,0.575,0.463,No,0.894,0,0.126,-10.986,Minor,21-09-1999,0.0242,93.026,0.279,1999,4.6,average
9285,0.0962,0.292,0.585,No,4.58E-05,2,0.0558,-8.897,Minor,01-01-1978,0.0344,145.42,0.274,1978,5.6,low
2920,0.764,0.44,0.324,No,0.0609,0,0.341,-16.812,Major,15-12-2020,0.0352,98.61,0.34,2020,15.1,very low
4744,0.335,0.538,0.373,No,0.171,9,0.182,-16.251,Major,18-06-1973,0.0336,145.347,0.456,1973,6,low
1704,0.13,0.252,0.802,No,0.0146,7,0.309,-3.976,Major,16-08-1986,0.0391,150.056,0.253,1986,5.1,high
11607,0.835,0.609,0.378,No,0,4,0.28,-9.828,Major,13-11-2015,0.438,100.418,0.515,2015,3.9,very high
13330,0.00373,0.662,0.727,No,0.421,1,0.313,-9.191,Minor,10-05-2013,0.0357,133.994,0.135,2013,4.2,very low
2849,0.000428,0.592,0.907,Yes,2.09E-05,7,0.0681,-3.651,Major,11-09-2001,0.0541,135.674,0.919,2001,4.3,average
13519,0.337,0.668,0.874,No,2.13E-06,5,0.0338,-8.751,Minor,01-01-2000,0.0469,187.435,0.921,2000,4.2,high
3942,0.11,0.632,0.639,No,0,9,0.884,-7.999,Major,28-02-2020,0.0313,124.946,0.737,2020,3.6,very low
6373,0.753,0.633,0.368,No,7.57E-05,3,0.1,-11.086,Major,14-07-1998,0.0376,123.883,0.275,1998,2.8,average
11360,0.815,0.435,0.388,No,0,0,0.303,-12.162,Major,01-01-1945,0.0551,90.476,0.592,1945,3.5,very low
11342,0.943,0.373,0.182,No,0.861,2,0.11,-16.036,Major,01-01-1954,0.0319,84.908,0.0879,1954,2.2,very low
11930,0.0711,0.465,0.735,Yes,0,6,0.0975,-3.715,Major,10-06-2016,0.117,173.935,0.409,2016,3.3,high
9544,0.009,0.72,0.672,No,0,7,0.232,-6.852,Major,30-03-2009,0.0551,124.986,0.705,2009,3.4,high
8602,0.0836,0.913,0.505,Yes,0,6,0.299,-15.59,Minor,01-01-1991,0.285,111.43,0.841,1991,2.8,low
8336,0.072,0.851,0.703,No,0,10,0.201,-9.814,Minor,01-01-1993,0.12,89.789,0.644,1993,4.1,average
2302,0.0321,0.491,0.897,No,0,9,0.356,-5.393,Minor,01-01-1997,0.0312,125.477,0.783,1997,4.5,average
11429,0.368,0.583,0.602,No,0,11,0.22,-6.364,Major,14-05-1984,0.0274,74.008,0.388,1984,3.8,high
3563,0.737,0.652,0.456,No,0,9,0.235,-9.673,Major,01-01-1993,0.0569,121.983,0.966,1993,2.3,average
4616,0.000196,0.694,0.483,No,0.557,0,0.134,-7.157,Major,10-02-2017,0.0359,96.029,0.132,2017,3.7,high
8728,0.21,0.672,0.716,No,0.00109,10,0.254,-12.335,Minor,04-01-1920,0.0424,100.016,0.856,1920,1.3,very low
3327,0.254,0.489,0.756,Yes,0,1,0.39,-6.995,Major,01-01-1996,0.459,184.77,0.562,1996,2.5,low
13868,0.00535,0.427,0.867,Yes,0.000846,7,0.0785,-9.077,Major,16-04-1996,0.128,170.256,0.56,1996,5.3,average
12505,0.0724,0.738,0.476,Yes,0,1,0.0782,-10.21,Minor,03-03-1998,0.0709,94.437,0.52,1998,4.4,low
7692,0.246,0.76,0.771,No,4.98E-05,5,0.075,-8.069,Major,01-01-1992,0.0836,142.909,0.661,1992,2.9,low
9812,0.799,0.443,0.676,No,0.014,8,0.159,-12.44,Minor,31-12-1952,0.273,160.968,0.942,1952,4.7,very low
6891,0.0893,0.636,0.72,No,0.0178,11,0.0868,-6.195,Major,01-01-2011,0.0432,124.944,0.425,2011,3.9,high
11307,0.687,0.637,0.793,No,0.671,8,0.104,-11.767,Major,04-09-2001,0.0534,122.942,0.127,2001,2.2,average
11824,0.995,0.584,0.409,No,0.912,4,0.239,-18.101,Minor,01-01-1957,0.0576,108.615,0.661,1957,0.9,low
5782,0.113,0.848,0.541,No,0.0027,5,0.101,-10.988,Major,10-07-1993,0.199,141.762,0.736,1993,3.1,low
12110,0.627,0.354,0.526,No,0.00308,3,0.823,-8.837,Major,18-11-1988,0.0407,171.39,0.601,1988,3.1,low
9894,0.692,0.824,0.588,No,0.000104,6,0.149,-6.4,Minor,17-10-2019,0.0924,98.027,0.513,2019,3.5,very high
15163,0.247,0.401,0.207,No,0,0,0.139,-15.066,Major,11-02-2008,0.0332,115.827,0.385,2008,2.6,very low
7872,0.407,0.71,0.448,No,0.121,9,0.0566,-13.855,Minor,01-01-1985,0.0356,116.39,0.612,1985,3.6,average
13367,0.0449,0.43,0.886,No,0,0,0.0879,-5.811,Major,01-01-2010,0.0828,187.38,0.808,2010,4.9,high
4057,0.143,0.375,0.574,No,0,7,0.11,-5.305,Major,26-01-2018,0.0315,132.025,0.406,2018,3.3,high
8509,0.934,0.189,0.469,No,0.834,0,0.352,-7.916,Major,01-01-1956,0.0332,90.26,0.339,1956,3,low
1377,0.0654,0.533,0.879,No,0,5,0.0147,-3.736,Major,26-12-2019,0.0492,129.943,0.398,2019,4.8,very low
1756,0.975,0.168,0.0273,No,0.942,11,0.17,-24.99,Minor,28-11-1986,0.038,86.001,0.149,1986,2.1,low
11142,0.0487,0.546,0.818,No,0,0,0.0983,-4.89,Major,13-11-2000,0.031,138.561,0.756,2000,2.5,average
13712,0.498,0.523,0.366,No,0,10,0.094,-14.069,Major,01-01-1991,0.0331,142.814,0.291,1991,4,high
5888,0.477,0.685,0.24,No,0,9,0.112,-21.412,Minor,01-01-1931,0.948,90.04,0.653,1931,1.6,very low
9743,0.0159,0.436,0.886,No,0.0866,11,0.0888,-6.608,Minor,13-12-2019,0.0387,132.027,0.169,2019,3.1,very low
1887,0.988,0.535,0.0851,No,0.000663,7,0.109,-19.843,Major,01-01-1970,0.0466,115.75,0.549,1970,2.5,low
12099,0.282,0.408,0.414,No,0,2,0.153,-11.083,Major,26-03-1980,0.0297,107.469,0.576,1980,3.4,high
281,0.000358,0.485,0.619,No,0.00176,8,0.28,-6.712,Major,01-01-1996,0.027,142.039,0.277,1996,4.5,average
8540,0.859,0.682,0.201,No,0.256,1,0.0929,-16.707,Minor,01-01-1996,0.0573,144.523,0.499,1996,3.1,average
1698,0.196,0.625,0.229,Yes,0,0,0.225,-19.189,Major,01-01-1926,0.963,170.41,0.381,1926,1.7,very low
15540,0.0246,0.625,0.869,No,0.0626,2,0.093,-9.467,Minor,25-03-1975,0.0293,114.223,0.89,1975,3.7,average
12077,0.715,0.526,0.774,No,0,5,0.437,-1.692,Major,23-11-2004,0.0459,131.715,0.715,2004,2.5,average
7519,0.826,0.655,0.141,No,0,10,0.312,-13.249,Major,01-01-1956,0.0446,101.097,0.639,1956,2.4,very low
184,0.281,0.706,0.497,Yes,0,3,0.252,-7.216,Minor,01-01-2014,0.0369,96.988,0.635,2014,4.4,average
15747,0.0101,0.577,0.832,No,0.000442,9,0.0863,-5.336,Major,21-10-1994,0.0253,129.157,0.847,1994,3.9,low
